dataset	model	data_key	seq_len	pred_len	train_epochs	seed	num_regimes	std_coeff	test_MSE	test_MAE	best_epoch	best_test_loss	best_val_loss	n_epochs_ran	test_route_entropy	test_Pe	test_projY_std	last_IRN_res_std	last_active_regimes	status	log_file
ETTh1	iTransformer	ETTh1c	96	96	2	2021	3	1	0.055809423	0.180209696	1	0.0558094	0.1059168	2	0.306	[0.9 0.037 0.063]	0.1595	1.0436	2月3日	finished	log_tsfil_v2_f_ETTh1_iTransformer_sl96_pl96_ep2_seed2021_regimes3_coeff1.0.log
ETTh1	iTransformer	ETTh1c	96	96	2	2023	3	1	0.056432147	0.180616245	1	0.0564321	0.1079749	2	0.852	[0.273 0.434 0.293]	0.1588	1.0473	3月3日	finished	log_tsfil_v2_f_ETTh1_iTransformer_sl96_pl96_ep2_seed2023_regimes3_coeff1.0.log
ETTh1	iTransformer	ETTh1c	96	96	2	2046	3	1	0.055152379	0.180519417	1	0.0551524	0.1052198	2	0.603	[0.163 0.677 0.16]	0.157	1.0442	3月3日	finished	log_tsfil_v2_f_ETTh1_iTransformer_sl96_pl96_ep2_seed2046_regimes3_coeff1.0.log
ETTh1	iTransformer	ETTh1c	96	192	2	2021	3	1	0.07156048	0.204294667	1	0.0715605	0.1188453	2	0.734	[0.248 0.501 0.251]	0.1694	1.2563	3月3日	finished	log_tsfil_v2_f_ETTh1_iTransformer_sl96_pl192_ep2_seed2021_regimes3_coeff1.0.log
ETTh1	iTransformer	ETTh1c	96	192	2	2023	3	1	0.071052536	0.203995466	1	0.0710525	0.1166501	2	0.906	[0.251 0.227 0.522]	0.1834	1.2589	3月3日	finished	log_tsfil_v2_f_ETTh1_iTransformer_sl96_pl192_ep2_seed2023_regimes3_coeff1.0.log
ETTh1	iTransformer	ETTh1c	96	192	2	2046	3	1	0.070745051	0.202917695	1	0.070745	0.1208044	2	0.769	[0.465 0.063 0.472]	0.181	1.2553	3月3日	finished	log_tsfil_v2_f_ETTh1_iTransformer_sl96_pl192_ep2_seed2046_regimes3_coeff1.0.log
ETTh1	iTransformer	ETTh1c	96	336	2	2021	3	1	0.083248459	0.224349529	1	0.0832484	0.1257479	2	0.89	[0.201 0.495 0.304]	0.1859	1.3231	3月3日	finished	log_tsfil_v2_f_ETTh1_iTransformer_sl96_pl336_ep2_seed2021_regimes3_coeff1.0.log
ETTh1	iTransformer	ETTh1c	96	336	2	2023	3	1	0.082584754	0.222173989	1	0.0825847	0.1289173	2	0.891	[0.5 0.237 0.264]	0.1855	1.3293	3月3日	finished	log_tsfil_v2_f_ETTh1_iTransformer_sl96_pl336_ep2_seed2023_regimes3_coeff1.0.log
ETTh1	iTransformer	ETTh1c	96	336	2	2046	3	1	0.082817651	0.222474813	1	0.0828177	0.1213376	2	0.871	[0.218 0.225 0.557]	0.1945	1.3232	3月3日	finished	log_tsfil_v2_f_ETTh1_iTransformer_sl96_pl336_ep2_seed2046_regimes3_coeff1.0.log
ETTh1	iTransformer	ETTh1c	96	720	2	2021	3	1	0.073971026	0.217415243	1	0.073971	0.1766077	2	0.793	[0.079 0.392 0.529]	0.1944	1.4429	3月3日	finished	log_tsfil_v2_f_ETTh1_iTransformer_sl96_pl720_ep2_seed2021_regimes3_coeff1.0.log
ETTh1	iTransformer	ETTh1c	96	720	2	2023	3	1	0.078339756	0.222134069	2	0.0783398	0.2037337	2	0.858	[0.216 0.361 0.423]	0.1685	1.4408	3月3日	finished	log_tsfil_v2_f_ETTh1_iTransformer_sl96_pl720_ep2_seed2023_regimes3_coeff1.0.log
ETTh1	iTransformer	ETTh1c	96	720	2	2046	3	1	0.077849768	0.221612111	2	0.0778498	0.2099038	2	0.931	[0.279 0.356 0.366]	0.1679	1.4445	3月3日	finished	log_tsfil_v2_f_ETTh1_iTransformer_sl96_pl720_ep2_seed2046_regimes3_coeff1.0.log
Exchange	iTransformer	customc	96	96	2	2021	1	1	0.101845615	0.238964245	1	0.1018456	0.2235896	2	0	[1.]	0.1038	1.145	1月1日	finished	log_tsfil_v2_f_Exchange_iTransformer_sl96_pl96_ep2_seed2021_regimes1_coeff1.0.log
Exchange	iTransformer	customc	96	96	2	2023	1	1	0.108739287	0.243835196	1	0.1087393	0.2133942	2	0	[1.]	0.113	1.1643	1月1日	finished	log_tsfil_v2_f_Exchange_iTransformer_sl96_pl96_ep2_seed2023_regimes1_coeff1.0.log
Exchange	iTransformer	customc	96	96	2	2046	1	1	0.104336403	0.240433678	1	0.1043364	0.2156941	2	0	[1.]	0.1088	1.1503	1月1日	finished	log_tsfil_v2_f_Exchange_iTransformer_sl96_pl96_ep2_seed2046_regimes1_coeff1.0.log
Exchange	iTransformer	customc	96	192	2	2021	1	1	0.188511625	0.32697612	1	0.1885116	0.2345535	2	0	[1.]	0.1075	1.8409	1月1日	finished	log_tsfil_v2_f_Exchange_iTransformer_sl96_pl192_ep2_seed2021_regimes1_coeff1.0.log
Exchange	iTransformer	customc	96	192	2	2023	1	1	0.20969218	0.3448053	1	0.2096922	0.2966848	2	0	[1.]	0.1308	1.793	1月1日	finished	log_tsfil_v2_f_Exchange_iTransformer_sl96_pl192_ep2_seed2023_regimes1_coeff1.0.log
Exchange	iTransformer	customc	96	192	2	2046	1	1	0.21168071	0.339855075	1	0.2116807	0.2855008	2	0	[1.]	0.1322	1.796	1月1日	finished	log_tsfil_v2_f_Exchange_iTransformer_sl96_pl192_ep2_seed2046_regimes1_coeff1.0.log
Exchange	iTransformer	customc	96	336	2	2021	1	1	0.43549338	0.501542091	1	0.4354935	0.2784763	2	0	[1.]	0.1478	2.8352	1月1日	finished	log_tsfil_v2_f_Exchange_iTransformer_sl96_pl336_ep2_seed2021_regimes1_coeff1.0.log
Exchange	iTransformer	customc	96	336	2	2023	1	1	0.416141868	0.493155122	1	0.4161419	0.2786387	2	0	[1.]	0.1517	2.7343	1月1日	finished	log_tsfil_v2_f_Exchange_iTransformer_sl96_pl336_ep2_seed2023_regimes1_coeff1.0.log
Exchange	iTransformer	customc	96	336	2	2046	1	1	0.417907804	0.495561928	1	0.4179078	0.3810525	2	0	[1.]	0.1251	2.9413	1月1日	finished	log_tsfil_v2_f_Exchange_iTransformer_sl96_pl336_ep2_seed2046_regimes1_coeff1.0.log
Exchange	iTransformer	customc	96	720	2	2021	1	1	1.169775844	0.839862049	1	1.169776	1.3103735	2	0	[1.]	0.2109	5.22	1月1日	finished	log_tsfil_v2_f_Exchange_iTransformer_sl96_pl720_ep2_seed2021_regimes1_coeff1.0.log
Exchange	iTransformer	customc	96	720	2	2023	1	1	1.088144422	0.811757684	1	1.0881444	1.2414454	2	0	[1.]	0.2167	5.0482	1月1日	finished	log_tsfil_v2_f_Exchange_iTransformer_sl96_pl720_ep2_seed2023_regimes1_coeff1.0.log
Exchange	iTransformer	customc	96	720	2	2046	1	1	1.180046797	0.828800321	1	1.1800468	0.8812597	2	0	[1.]	0.2031	4.9985	1月1日	finished	log_tsfil_v2_f_Exchange_iTransformer_sl96_pl720_ep2_seed2046_regimes1_coeff1.0.log
ILI	iTransformer	customc	36	24	11	2021	4	1	0.687990427	0.600685596	2	0.6879905	0.0722241	7	0.733	[0.107 0.188 0.33 0.375]	0.1141	0.532	4月4日	finished	log_tsfil_v2_f_ILI_iTransformer_sl36_pl24_ep11_seed2021_regimes4_coeff1.0.log
ILI	iTransformer	customc	36	24	11	2023	4	1	0.707708955	0.585314333	9	0.7077089	0.0568417	11	0.676	[0.16 0.257 0.164 0.419]	0.1912	0.477	4月4日	finished	log_tsfil_v2_f_ILI_iTransformer_sl36_pl24_ep11_seed2023_regimes4_coeff1.0.log
ILI	iTransformer	customc	36	24	11	2046	4	1	0.744837999	0.597580731	4	0.7448379	0.0594056	9	0.867	[0.138 0.432 0.23 0.2]	0.1555	0.512	4月4日	finished	log_tsfil_v2_f_ILI_iTransformer_sl36_pl24_ep11_seed2046_regimes4_coeff1.0.log
ILI	iTransformer	customc	36	36	11	2021	4	1	0.65266639	0.597400248	7	0.6526664	0.0516498	11	0.815	[0.173 0.231 0.129 0.466]	0.2446	0.5038	4月4日	finished	log_tsfil_v2_f_ILI_iTransformer_sl36_pl36_ep11_seed2021_regimes4_coeff1.0.log
ILI	iTransformer	customc	36	36	11	2023	4	1	0.600973547	0.570207477	9	0.6009737	0.0587937	11	0.719	[0.176 0.121 0.238 0.465]	0.2577	0.5093	4月4日	finished	log_tsfil_v2_f_ILI_iTransformer_sl36_pl36_ep11_seed2023_regimes4_coeff1.0.log
ILI	iTransformer	customc	36	36	11	2046	4	1	0.604919791	0.5830459	10	0.6049198	0.0596596	11	0.834	[0.333 0.212 0.152 0.303]	0.2623	0.5142	4月4日	finished	log_tsfil_v2_f_ILI_iTransformer_sl36_pl36_ep11_seed2046_regimes4_coeff1.0.log
ILI	iTransformer	customc	36	48	11	2021	4	1	0.593313277	0.5783692	10	0.5933132	0.0752238	11	0.52	[0.172 0.14 0.248 0.44]	0.2838	0.5463	3月4日	finished	log_tsfil_v2_f_ILI_iTransformer_sl36_pl48_ep11_seed2021_regimes4_coeff1.0.log
ILI	iTransformer	customc	36	48	11	2023	4	1	0.606254041	0.593823791	7	0.606254	0.0656046	11	0.628	[0.033 0.035 0.525 0.407]	0.2572	0.5373	4月4日	finished	log_tsfil_v2_f_ILI_iTransformer_sl36_pl48_ep11_seed2023_regimes4_coeff1.0.log
ILI	iTransformer	customc	36	48	11	2046	4	1	0.619629979	0.597313523	7	0.61963	0.0564072	11	0.768	[0.092 0.389 0.397 0.121]	0.2722	0.5366	4月4日	finished	log_tsfil_v2_f_ILI_iTransformer_sl36_pl48_ep11_seed2046_regimes4_coeff1.0.log
ILI	iTransformer	customc	36	60	11	2021	4	1	0.618976057	0.599424601	9	0.6189761	0.0709151	11	0.57	[0.551 0.014 0.407 0.028]	0.2861	0.5727	3月4日	finished	log_tsfil_v2_f_ILI_iTransformer_sl36_pl60_ep11_seed2021_regimes4_coeff1.0.log
ILI	iTransformer	customc	36	60	11	2023	4	1	0.593774438	0.5666399	9	0.5937745	0.1024849	11	0.847	[0.301 0.177 0.249 0.273]	0.2961	0.5658	4月4日	finished	log_tsfil_v2_f_ILI_iTransformer_sl36_pl60_ep11_seed2023_regimes4_coeff1.0.log
ILI	iTransformer	customc	36	60	11	2046	4	1	0.613756359	0.602146208	11	0.6137563	0.0766774	11	0.199	[0.001 0.921 0.004 0.074]	0.322	0.5463	3月4日	finished	log_tsfil_v2_f_ILI_iTransformer_sl36_pl60_ep11_seed2046_regimes4_coeff1.0.log
