dataset,pred_len,num_regimes,std_coeff,train_epochs,n_seeds,MSE_mean,MSE_std,MAE_mean,MAE_std,ShifTS_iT_MSE,ShifTS_iT_MAE,seeds_used
ILI,24,4,1.0,11,3,0.713512,0.023568,0.594527,0.006636,0.799,0.642,"2021,2023,2046"
ILI,36,4,1.0,11,3,0.61952,0.023493,0.583551,0.011107,0.69,0.64,"2021,2023,2046"
ILI,48,4,1.0,11,3,0.606399,0.010744,0.589836,0.008232,0.68,0.665,"2021,2023,2046"
ILI,60,4,1.0,11,3,0.608836,0.010861,0.589404,0.016135,0.672,0.667,"2021,2023,2046"
ILI,AVG,4,1.0,11,3,0.637067,,0.58933,,0.7103,0.6535,
Exchange,96,1,1.0,2,3,0.104974,0.00285,0.241078,0.00204,0.115,0.255,"2021,2023,2046"
Exchange,192,1,1.0,2,3,0.203295,0.010485,0.337212,0.007515,0.209,0.343,"2021,2023,2046"
Exchange,336,1,1.0,2,3,0.423181,0.008736,0.496753,0.003526,0.426,0.495,"2021,2023,2046"
Exchange,720,1,1.0,2,3,1.145989,0.041117,0.826807,0.01156,1.138,0.827,"2021,2023,2046"
Exchange,AVG,1,1.0,2,3,0.46936,,0.475463,,0.472,0.48,
ETTh1,96,3,1.0,2,3,0.055798,0.000523,0.180448,0.000173,0.056,0.181,"2021,2023,2046"
ETTh1,192,3,1.0,2,3,0.071119,0.000336,0.203736,0.000591,0.072,0.205,"2021,2023,2046"
ETTh1,336,3,1.0,2,3,0.082884,0.000275,0.222999,0.000963,0.083,0.225,"2021,2023,2046"
ETTh1,720,3,1.0,2,3,0.07672,0.001954,0.220387,0.002112,0.082,0.23,"2021,2023,2046"
ETTh1,AVG,3,1.0,2,3,0.07163,,0.206893,,0.0732,0.2102,
